name,rate,location,description
Melia Cozumel Golf All Inclusive,8.2,"كوزوميل
– اعرض على الخارطة",يقع هذا المنتجع الشامل كلياً في مدينة كوثوميل في المكسيك، ويوفر خدمات سبا كاملة ورعاية للأطفال ورياضات مائية وخدمات استئجار السيارات بالإضافة إلى 3 مطاعم و5 بارات، كما تتوفر خدمة الواي فاي مجاناً في...
Hotel Casa del Sol,8.3,"إنسينادا
– اعرض على الخارطة","Hotel Casa del Sol features rooms in Ensenada. Boasting a 24-hour front desk, this property also provides guests with a terrace. A tour desk can provide information on the area."
Pinacate Marina Resort - Villa 11,9.0,"بورتو بيناسكو
– اعرض على الخارطة",يقع Marina Pinacate Resort - Villa 11 في بويرتو بيناسو في منطقة سونورا ويوفر مسبح خارجي وإطلالات على البحر. يمكن للضيوف الاستمتاع بحوض الاستحمام الساخن لـ 7 أشخاص كحد أقصى.
Mayaland Hotel & Bungalows,9.1,"تشيتشن إيتزا
– اعرض على الخارطة",يقع هذا المنتجع العالمي في الغابة في قلب المنطقة الأثرية بمدينة تشيتشن إيتزا، ويضم حدائق استوائية واسعة و3 مسابح في الهواء الطلق وحوض استحمام ساخن ويقدم علاجات السبا.
Tropicana Hotel Puerto Vallarta,8.0,"South Shore Hotel Area, بويرتو فايارتا
– اعرض على الخارطة",This beachfront hotel overlooks Banderas Bay and is within a 10-minute drive of Puerto Vallarta. The hotel features an outdoor pool and currency exchange at the front desk.
Breathless Cabo San Lucas All Inclusive- Adults Only,8.7,"Medano Beach, كابو سان لوكاس
– اعرض على الخارطة","Located in front of El Medano Beach, just next to the Marina Los Cabos, Breathless Cabo San Lucas All Inclusive- Adults Only features a swimming pool, theme parties and free WiFi throughout."
Jardin Del Mar,8.7,"بورتو بيناسكو
– اعرض على الخارطة",يضم Jardin Del Mar منطقة شاطئ خاص وحديقة وتراس في بويرتو بيناسو. تحتوي جميع الغرف على تلفزيون بشاشة مسطحة مع قنوات فضائية وحمام خاص. تتوفر خدمة الواي فاي المجانية ومواقف خاصة للسيارات في النزل.
حياة زيفا لوس كابوس - شامل كليًا,9.1,"سان خوسيه ديل كابو
– اعرض على الخارطة",يقع منتجع Hyatt Ziva Los Cabos - All Inclusive الفاخر الشامل كليًا على شاطئ سان خوسيه ديل كابو، ويشتمل على مسابح مصممة على طراز البحيرات الشاطئية وسبا وجيم، وتشتمل الأجنحة الأنيقة على شرفة مطلة على...
Finca de los Angeles,7.6,"Chiconcuac
– اعرض على الخارطة",يقع Finca de los Angeles في Chiconcuac ويضم مسبح في الهواء الطلق وحديقة. ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مطعمًا. يحتوي الفندق على حوض استحمام ساخن ومطبخ مشترك....
Hotel Amar Inn,9.3,"بويرتو موريلوس
– اعرض على الخارطة",يقع فندق Amar Inn على مسافة 50 متراً فقط من شاطئ بلايا مار في بويرتو موريلوس وعلى بعد 400 متر من Plaza Central ويضم بعض الغرف المطلة على البحر. ويوفر خدمة الواي فاي المجانية.
