hotel,hotelLabel,country,countryLabel
http://www.wikidata.org/entity/Q1444161,Grand Hotel,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q1464273,Q1464273,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1476845,parador,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q1481002,The Ritz London,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1494054,Q1494054,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1495468,Q1495468,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1498152,Q1498152,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1498851,Geisel Privathotels,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1499354,Schlosshotel (Heidelberg),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1502238,Q1502238,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1504486,Waldhaus Flims,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1508043,Val Sinestra,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1509381,Q1509381,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1515412,Belmond Reid's Palace,http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q1515595,Hôtel Lutetia,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1520340,Q1520340,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1523110,Q1523110,,
http://www.wikidata.org/entity/Q1527557,Arabia Felix Hotel,http://www.wikidata.org/entity/Q805,Yemen
http://www.wikidata.org/entity/Q1530960,Gleneagles Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1533760,Q1533760,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1535018,Golden Nugget Las Vegas Hotel & Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1535365,Kurhaus of Scheveningen,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q1535845,Riviera Hotel and Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1536160,Grand Hotel Wien,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1538837,Raffles Hotel,http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q1542586,Q1542586,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1542588,Grand Hotel,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q1542590,Hotel Excelsior,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1542593,Grand Hotel Kronenhof,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1542595,Grand Hotel Russischer Hof,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1542599,Q1542599,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1542600,Grand Hotel,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1542607,Grand Hotel des Bains,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1542609,Grand Hotel Europe,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1542956,Q1542956,http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q1542957,Q1542957,http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q1545683,Q1545683,,
http://www.wikidata.org/entity/Q1551681,Q1551681,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1559342,Hollywood Roosevelt Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1570215,Q1570215,,
http://www.wikidata.org/entity/Q1571054,Caleta Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1572832,Q1572832,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1578141,Bristol Hotel,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1580067,Harrah's Las Vegas,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1582089,Sultan Palace Hotel,,
http://www.wikidata.org/entity/Q1582656,Gold Mohur Hotel,http://www.wikidata.org/entity/Q805,Yemen
http://www.wikidata.org/entity/Q1583617,Q1583617,,
http://www.wikidata.org/entity/Q1585008,Hard Rock Hotel and Casino,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1589900,Atlantis House,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1590904,Haus des Volkes,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1603221,Helmhaus Hotel,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1607128,Q1607128,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1609084,The Pilgrim House,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1610900,Südbahnhotel Semmering,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1611203,Q1611203,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q1615927,Hessischer Hof (Frankfurt am Main),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1619924,Sheraton Tirana Hotel and Towers,http://www.wikidata.org/entity/Q222,Albania
http://www.wikidata.org/entity/Q1620433,Hirschgasse,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1624906,Hotel Kaiserhof,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630790,Q1630790,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1630814,Hotel Weiss Kreuz,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1630821,Hotel Angielski,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1630825,Hotel Badischer Hof (Baden-Baden),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630827,Q1630827,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630829,Q1630829,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630833,"Hotel Berlin, Berlin",http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630836,Beverly Wilshire Hotel,http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1630837,Hotel Bodenhaus,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1630838,Q1630838,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1630839,Hotel Bristol,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1630841,Q1630841,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1630841,Q1630841,http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q1630842,Hotel Bristol,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q1630844,Hotel Bristol,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1630845,Q1630845,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q1630854,Q1630854,http://www.wikidata.org/entity/Q36,Poland
