name,location,rating,description
فندق أنوار المدينة موڤنبيك,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يوفر فندق أنوار المدينة موفنبيك المصنف 5 نجوم مكان إقامة أنيق يقع على مسافة تقل عن 5 دقائق سيراً من المسجد النبوي الشريف، ويتميز الفندق بـ4 مطاعم في الموقع، ويتوفر استخدام الواي فاي مجاناً في جميع...
فندق إيلاف جراند المجيدى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",ممتاز,يحتوي مكان الإقامة المكيف هذا على مركز للتسوق موزع على طابقين ويوفر خدمة الواي فاي المجانية، ويعتبر هذا الفندق من الفنادق الأكثر فخامة في المدينة المنورة الواقعة ضمن الصف الأول المواجه للحرم، كما يقع...
فندق دلة طيبة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",ممتاز,يقع فندق دلة طيبة على بعد 50 متر من المسجد النبوي والمنطقة التجارية وخيارات التسوق الواقعة في المدينة المنورة.
فندق البسفور,"وسط المدينة, المدينة
– اعرض على الخارطة",رائع,يقع فندق البسفور على بعد 4 دقائق فقط سيرًا على الأقدام من المسجد النبوي الشريف، ويضم غرفاً واسعة ومكيفة، ويتوفر موقف للسيارات بالقرب من السكن.
Frontel Al Harithia Hotel,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يوفر Frontel Al Harithia Hotel المصنف 5 نجوم إطلالة على المسجد النبوي، حيث يقع على بعد بضعة خطوات من المسجد النبوي، كما يوفر جيم وغرف مزودة بخدمة الواي فاي مجاناً.
فندق دار التقوى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يتميز هذا الفندق بغرف مكيفة مع تلفزيون بشاشة مسطحة وحديقة الشاي التي تقدم الوجبات الخفيفة والحلويات، كما يقع على بعد أقل من دقيقتين سيراً على الأقدام من المسجد النبوي الشريف، ويمكن للضيوف الاستمتاع...
بولمان زمزم المدينة,"وسط المدينة, المدينة
– اعرض على الخارطة",جيد جداً,يقع بولمان زمزم المدينة في المدينة المقدسة في المدينة المنورة وعلى بعد 150 متر فقط من باب السلام من المسجد النبوي ويوفر خدمة الواي فاي مجاناً في جميع أنحاء الفندق بأكمله.
فندق المدينة هيلتون,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق Madinah Hilton على بعد مسافة سير قصيرة من المسجد النبوي، في قلب حي التسوق بالمدينة المنورة. ويقدم الفندق غرفاً مريحة مع تليفزيون مع القنوات الفضائية.
شذا المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع هذا الفندق البوتيكي المزين بأناقة على أعتاب باب المسجد النبوي الشريف في المدينة المنورة، ويتميز بإشعاعه الروحاني والتطور.
فندق بروفينس الشام,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع على بُعد دقيقتين فقط سيراً على الأقدام من بوابة المسجد النبوي رقم 17 (مدخل للرجال والنساء) بالقرب من موقف سيارات حرم رقم 9، وتبعد بوابة رقم 24 المخصصة لزيارات النساء مسافة 3 دقائق فقط من الفندق.
فندق كراون بلازا المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يوفر هذا الفندق إطلالة على حرم المسجد النبوي، لذلك يمكن للحجاج الوصول مباشرة إلى مداخل الذكور والإناث في المسجد النبوي الشريف سيرًا على الأقدام أو باستخدام خدمة النقل مجانًا، وبفضل موقع مكان الإقامة...
فندق روف المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يتميز روف المدينة المنورة بموقع استراتيجي على بعد 200 متر من الحرم، ويقدم غرف ذات ديكورات فاخرة مع شرفة، كما تقع مكتبة الملك عبد العزيز التاريخية على بعد 10 دقائق سيرًا على الأقدام.
فندق المدينة هارموني,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يتميز فندق المدينة هارموني بموقع مركزي في قلب المدينة المنورة، ويوفر خدمة الواي فاي المجانية في المناطق العامة وإطلالات على جبل أحد.
فندق المدينة موڤنبيك,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق موفنبيك المدينة بموقع متميز جنوب المسجد النبوي على بعد دقائق معدودة من الروضة الشريفة ومناطق البقيع، ويوفر الفندق مزيجاً من خيارات تناول الطعام الفاخرة ومنطقة الاجتماعات الواسعة في أجواء...
فندق جوار السقيفة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق جوار السقيفة في المدينة المنورة، ويوفر أماكن إقامة عصرية. كما يضم خدمة الواي فاي المجانية في جميع المناطق، ويبعد مسافة دقيقتين سيراً على الأقدام عن الحرم الشريف.
فندق الحرم - الروضة,"وسط المدينة, المدينة
– اعرض على الخارطة",جيد,يتميز فندق الحرم - الروضة ذو مستوى الـ5 نجوم بتصاميم داخلية على الطّراز العربي، ويقع في مركز المدينة المنورة على بُعد أقل من 100 متر من الحرم، ويشمل مطعم كبير وخِدمة الواي فاي عِند الطّلب.
دار الإيمان إنتركونتيننتال,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يتميز دار الإيمان إنتركونتيننتال بموقع مثالي بجوار ساحة المسجد النبوي الشريف ويوفر غرف مع تكييف الهواء وتلفزيون مع قنوات فضائية، وتقع مكتبة الملك عبد العزيز العامة على بعد 10 دقائق فقط سيراً على...
دار الهجرة إنتركونتيننتال,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يتميز هذا الفندق المصنف 5 نجوم بموقع ممتاز في وسط المدينة المنورة، ويضم مطعم يقدم المأكولات الآسيوية والعالمية، ويبعد هذا الفندق مسافة 400 متر من حرم المسجد النبوي.
لو ميريديان المدينة,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق Le Meridien Madina على بعد 10 دقائق بالسيارة من الحرم الشريف في المدينة المنورة. ويوفر غرفاً وأجنحة مع تجهيزات من الرخام الإيطالي وخدمة نقل مكوكية مجانية إلى الحرم.
فندق الإيمان رويال,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق الإيمان رويال في الجزء الشمالي من المنطقة المركزية للمدينة المنورة وضمن مسافة 100 متر من المسجد النبوي، كما توفر بعض الغرف إطلالات على جبل أحد أو المسجد.
سجى المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع سجا المدينة في المدينة المنورة وعلى بعد 4 دقائق سيرًا على الأقدام من المسجد النبوي.
الراشد ريزيدنسز,"المدينة المنورة
– اعرض على الخارطة",رائع,يقع الراشد ريزيدنسز في المدينة المنورة، على بعد 8 كم من المسجد النبوي وعلى بعد 300 متر من الراشد ميغا مول، ويضم مركزاً للياقة البدنية وسبا ومركز صحي وخدمة الواي فاي المجانية، كما يوفر هذا الفندق...
ذا جلوريوس,"المدينة المنورة
– اعرض على الخارطة",رائع,يقع The Glorious في المدينة المنورة، ويوفر أماكن إقامة مع خدمة الواي فاي المجانية وتلفزيون بشاشة مسطحة، فضلاً عن صالة مشتركة. كما تحتوي بعض الوحدات على مطبخ مجهز بمحمصة وثلاجة وموقد مسطح.
ريف المدينة للوحدات السكنية المفروشة,"المدينة المنورة
– اعرض على الخارطة",ممتاز,يقع ريف المدينة للوحدات السكنية المفروشة في المدينة المنورة على بعد 6 كم من المسجد النبوي، ويوفر خدمة الواي فاي المجانية. تم تجهيز جميع الوحدات بتكييف وتلفزيون بشاشة مسطحة وغسالة ملابس وغلاية.
سكينة كمباوند,"المدينة المنورة
– اعرض على الخارطة",,يقع مجمع السقيفة على بعد 7 كم من المسجد النبوي، ويوفر أماكن إقامة في المدينة المنورة.
فندق كورال المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق كورال المدينة في المدينة المنورة، وعلى بعد 80 متر من المسجد النبوي، كما يوفر خدمة الواي فاي مجانًا، ويبعد مكان الإقامة هذا مسافة 100 متر من مقبرة البقيع، كما يوفر مكتب استقبال يعمل على مدار...
Rose Diamond Hotel,"المدينة المنورة
– اعرض على الخارطة",جيد,يوفر Rose Diamond Hotel مكان إقامة في المدينة المنورة، يقع مكان الإقامة على بعد 5 كم من المسجد النبوي وعلى بعد 1.3 كم من مول Mazaya.
كونكورد دار الخير,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع كونكورد دار الخير في منطقة وسط المدينة المنورة، وعلى بعد بضع خطوات فقط من المسجد النبوي، كما يضم غرف مكيفة مع خدمة الواي فاي مجانًا في جميع أنحاء مكان الإقامة، ويمكن للضيوف الاستمتاع بالمطعم...
فندق مودة الصفوة,"وسط المدينة, المدينة المنورة 
– اعرض على الخارطة",جيد,يقع هذا الفندق على بعد 3 دقائق سيراً على الأقدام من المسجد النبوي الشريف، ويتميز بغرف مع تلفزيون مع قنوات فضائية. كما يوفر خدمة نقل المطار إلى مطار الأمير محمد بن عبد العزيز الدولي.
فندق مودة النور,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع هذا الفندق في المدينة المنورة، وعلى بعد 3 دقائق سيراً على الأقدام من المسجد النبوي، ويضم أماكن إقامة مكيفة ومكتب استقبال يعمل على مدار الساعة، كما يوفر لضيوفه مطعم في الموقع.
فندق جلنار السلام,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Gulnar Al Salam Hotel على بعد 450 م من المسجد النبوي ويوفر غرف مكيفة في وسط المدينة المنورة، يقع مكان الإقامة على بعد حوالي 1.2 كم من البازار القديم وعلى بعد 2.3 كم من مول Mazaya.
Makaram Madina Palaza,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Makaram Madina Palaza في المدينة المنورة، ويوفر بار وخدمة الواي فاي المجانية. ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مطعمًا.
فندق جولدن توليب الذهبى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع هذا الفندق قبالة المسجد النبوي وأمام البوابة النسائية رقم 25، كما يضم 183 غرفة وجناح مع إطلالة على الحرم أو المدينة، فيما يضم فندق جولدن توليب الذهبي مطعم، ويوفر خدمة الواي فاي مجانًا.
فندق شموخ,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق شموخ في المدينة المنورة وعلى بعد 10 دقائق بالسيارة من المسجد النبوي. ويوفرغرف مفروشة ببساطة. ويمكن ترتيب خدمة تخزين الأمتعة لدى مكتب الاستقبال الذي يقدم خدماته على مدار الساعة.
فندق مودة التقوة,"وسط المدينة, المدينة
– اعرض على الخارطة",جيد,يقع فندق مودة التقوة يقع في المدينة المنورة. وتضم جميع الغرف تلفزيون مع قنوات فضائية وحمام خاص.
فندق جراند زوار,"وسط المدينة, المدية المنورة 
– اعرض على الخارطة",,يوفر فندق غراند زووار مكان إقامة في المدينة المنورة. يقع الفندق على بعد حوالي 4.2 كم من المسجد النبوي، ويوفر خدمة الواي فاي المجانية، كما يقع على بعد 2.1 كم من البازار القديم.
فندق دار النعيم,"وسط المدينة, المدينة
– اعرض على الخارطة",نقاط التعليقات,يقدم فندق Al-Naeem غرفاً عصرية ويبعد 200 متر عن المسجد النبوي الشريف في المدينة المنورة. ويقع في مبنى رائع يدمج بين الميزات الغربية والسعودية كما يقدم مطعماً ومركزاً لرجال الأعمال.
منازلي المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع فندق منازلي المدينة على بعد 40 خطوة من الحرم، ويقدم غرفًا مزينة بشكل تقليدي تطل على الحرم، كما يوفر خدمة الواي فاي مجانًا في المناطق العامة.
فندق هلا طيبة الفندقية,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق هلا طيبة الفندقية في المدينة المنورة، على بُعد 2.5 كم من المسجد النبوي، ويتميز بغرف مع تكييف الهواء وخدمة الواي فاي المجانية، كما يقع مكان الإقامة هذا على بُعد مسافة قصيرة من أماكن الجذب...
الروضة رويال ان,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع رويال إن الروضة على بعد 30 متر من المسجد النبوي، ويضم غرف ضيوف كلاسيكية مع سجاد فاخر وتكييف هواء وجهاز تلفزيون بشاشة مسطحة. ويوفر المطعم في الموقع إطلالات على المسجد النبوي.
فندق زها,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يوفر فندق Zaha مكان إقامة في المدينة المنورة، وتم بناء مكان الإقامة في عام 2018، ويقع على بعد 900 م من المسجد النبوي. وتتوفر خدمة الواي فاي المجانية ويقع البازار القديم على بعد 2.9 كم.
