name,location,description,rating,url,wikiUrl,
Amman Rotana,"Amman
","Located in the central business, social and residential destination, Amman’s new downtown, Al Abdali, Amman Rotana is the first tower hotel in Jordan offering 412 lavish rooms and suites, housed...",8.6,https://www.booking.com/hotel/jo/amman-rotana.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=1&hpos=1&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Arab Tower Hotel,"Amman
","Located in the heart of Amman, Arab Tower Hotel features traditional décor and offers views of the Roman Theater. It is a 5-minute walk from the historic sites on the Citadel. Free Wi-Fi is available....",7.8,https://www.booking.com/hotel/jo/arab-tower.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=2&hpos=2&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Art Hotel Downtown,"Amman
","Located in Downtown Amman, Art Hotel features simply furnished accommodations. Free WiFi is available in all areas. The Roman Amphitheater is a 10-minute walk away.",7.9,https://www.booking.com/hotel/jo/art.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=3&hpos=3&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Ayass Hotel,"Amman
","Ayass Hotel is located just 2.2 miles from Mecca Mall, City Mall, and it Includes a fitness center operated by “Vault Gym” with both mixed time and ladies only time and an expansive chic lobby.",8.8,https://www.booking.com/hotel/jo/ayass-hotel.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=4&hpos=4&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
The House Boutique Suites,"Amman
","Located in Amman, In front of Amman Chamber of Industry, The House Boutique Suites features air-conditioned rooms with free WiFi throughout the property.",9.2,https://www.booking.com/hotel/jo/the-house-boutique-suites.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=5&hpos=5&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Amman International Hotel,"Amman
","Situated next to the University of Jordan, this 4-star hotel offers air-conditioned rooms with a flat-screen TV. It has an outdoor pool and 4 dining outlets.",9.2,https://www.booking.com/hotel/jo/amman-international.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=6&hpos=6&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Amman Marriott Hotel,"Amman
","This 5-star hotel offers well-appointed, spacious rooms. It features 2 restaurants, 2 bars, and a health club with 2 pools. It is located in the Shmeissani district in Al Abdali.",8.1,https://www.booking.com/hotel/jo/the-amman-marriott.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=7&hpos=7&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
InterContinental Jordan,"Amman
","Combining contemporary facilities with local features, InterContinental offers stylish accommodations in Amman’s Diplomatic Area.",8.6,https://www.booking.com/hotel/jo/intercontinental-jordan.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=8&hpos=8&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Grand Millennium Hotel Amman,"Amman
","Located in the commercial district of Shmeisani, Grand Millennium Hotel is contemporary designed hotel within a walking distance from shopping centers.",8.3,https://www.booking.com/hotel/jo/millennium-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=9&hpos=9&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
The Boulevard Arjaan by Rotana,"Amman
","Conveniently located in the new downtown - Abdali in the middle of the business district of Amman, The Boulevard Arjaan By Rotana offers tastefully decorated rooms. WiFi access is available.",8.1,https://www.booking.com/hotel/jo/the-boulevard-arjaan-by-rotana.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=10&hpos=10&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&bhgwe_bhr=0&from=searchresults,highlight_room=#hotelTmpl,
