name,location,"rating ",description
Modern Pearl in Historic setting,"البلدة القديمة, القدس
– اعرض على الخارطة",9.6,يقع Modern Pearl in Historic في منطقة القدس الشرقية في القدس، على بعد 500 م من الحائط الغربي، وعلى بعد 1.1 كم من قبة الصخرة وعلى بعد 1.6 كم من كنيسة جميع الأمم.
فندق اجريباس البوتيكي,"القدس الغربية, القدس
– اعرض على الخارطة",7.9,يقع فندق اجريباس في وسط مدينة القدس، وعلى بعد 5 دقائق فقط سيرًا على الأقدام من سوق محانيه يهودا، ويوفر غرف واسعة مع أرضيات خشبية وإطلالات على المدينة، كما تبعد المدينة القديمة مسافة 2 كم.
Prima Kings Hotel,"القدس الغربية, القدس
– اعرض على الخارطة",8.0,يقع فندق بريما كينغز بالقدس في منطقة رحافيا الحصرية، على بُعد 1 كم من المدينة القديمة، ويقدم سبا ومركز للياقة البدنية، بالإضافة إلى صالة رجال الأعمال التنفيذية، ويضم معبدًا يهوديًا ومطعمًا ومقهى، كما...
Prima Royale Hotel,"القدس الغربية, القدس
– اعرض على الخارطة",7.8,يقع Prima Royale Hotel في شارع سكني هادئ في حي الطالبية في القدس، ويتمتع بموقع جيد لاستكشاف الحي القديم والمواقع التاريخية والمنطقة التجارية في المدينة.
فندق هربرت صموئيل القدس,"القدس الغربية, القدس
– اعرض على الخارطة",8.7,يوفر Herbert Samuel Hotel Jerusalem مكان إقامة فاخر يقع على بعد 800 متر فقط من مدينة القدس القديمة ويوفر مركز عافية مع مسبح داخلي وساونا، ويمكن للضيوف الاستمتاع بالمطعم وخدمة الواي فاي مجاناً.
فندق كينغ سولومون القدس,"القدس الغربية, القدس
– اعرض على الخارطة",7.2,يبعد فندق King Solomon مسافة 15 دقيقة سيراً على الأقدام عن المدينة القديمة وكيلو متر واحد عن مركز مدينة القدس. ويضم غرف أنيقة ومزودة بتلفاز ذو شاشة مسطحة ومسبح مطل على المدينة.
TRYP Jerusalem Bat Sheva,"القدس الغربية, القدس
– اعرض على الخارطة",8.7,يوفر TRYP Jerusalem Bat Sheva مكان إقامة في القدس، وتتوفر خدمة الواي فاي مجاناً في جميع أنحاء مكان الإقامة بالإضافة إلى مواقف خاصة للسيارات في الموقع. وتحتوي الغرف على تلفزيون بشاشة مسطحة.
فندق إلدان,"القدس الغربية, القدس
– اعرض على الخارطة",8.0,يطل فندق إلدان على أسوار المدينة القديمة من موقعه المريح في المنطقة السياحية المركزية، ويقدم خدمة يَقظة ومواقف مجانية للسيارات وغرفًا مكيفة مزودة بخدمة الواي فاي المجانية، ويبعد مسافة 10 دقائق سيرًا...
فندق دان جيروزاليم البوتيكي,"القدس الغربية, القدس
– اعرض على الخارطة",8.0,يقع فندق Dan البوتيكي على بُعد 200 متر من منطقة الترفيه المحطة الأولى في القدس، ويشتمل على غرف واسعة مع تكييف، ويوفر موظفو الفندق خدمة شخصية، ويوجد تراس كبير مفروش، وتتوفر خدمة الواي فاي المجانية في...
إيبيس جاروساليم سيتي سنتر,"القدس الغربية, القدس
– اعرض على الخارطة",8.6,يقع ibis Jerusalem City Center على بعد 1.4 كم من الحائط الغربي، ويوفر خدمة الواي فاي المجانية في جميع الأنحاء وكنيس خاص به وصالة مشتركة. يقع مكان الإقامة على بعد 1.8 كم من قبة الصخرة وكنيسة كل الأمم.
ليوناردو بوتيك جيروساليم,"القدس الغربية, القدس
– اعرض على الخارطة",8.7,يقع فندق ليوناردو القدس البوتيكي في مدينة القدس، وعلى بعد 2 كم من قبة الصخرة. ويمكن للضيوف الاستمتاع ببار ومطعم في الموقع.
فندق ليوناردو بلازا القدس,"القدس الغربية, القدس
– اعرض على الخارطة",8.5,يقع فندق ليوناردو بلازا القدس من فئة الـ 5 نجوم على مسافة 15 دقيقة سيرًا على الأقدام من المدينة القديمة. ويوفر سبا ومسبح خارجي مع إطلالات على المدينة وغرف فسيحة وأنيقة مع خدمة الواي فاي مجانًا.
فندق واي إم سي إيه ثري آرشز,"القدس الغربية, القدس
– اعرض على الخارطة",8.3,يقع فندق واي إم سي إيه ثري آرشز في أفضل موقع في قلب مدينة القدس. ويقع قبالة فندق الملك دايفيد الشهير على بعد 10 دقائق سيراً على الأقدام من المدينة القديمة.
