name,rate,location,description
فندق فلسطين بلازا,6.8,"رام الله
– اعرض على الخارطة",يقع فندق The Palestine Plaza في البرج التجاري، وهو أطول مبنى في فلسطين، ويقدم أول مطعم دوار في الدولة وجيم وسبا. ويمكن ترتيب خدمة تخزين الأمتعة في مكتب الاستقبال الذي يعمل على مدار 24 ساعة.
بيت ضيافة حوش السريان,9.3,"بيت لحم
– اعرض على الخارطة",يوفر بيت ضيافة حوش السريان مكان إقامة يسمح باصطحاب الحيوانات الأليفة في بيت لحم ويوفر خدمة الواي فاي المجانية ومطعماً. ويوفر الفندق تراس تشمس وإطلالات على الحديقة.
فندق جراند بارك,7.9,"رام الله 
– اعرض على الخارطة",يقع فندق غراند بارك على تلال ميسون في رام الله ويوفر مكان إقامة مزينة بشكل أنيق مع خدمة الواي فاي المجانية. ويضم مسبحاً في الهواء الطلق ومطعم يقدم بوفيه الإفطار وصالة في الهواء الطلق.
شقق سابرينا,9.2,"بيت لحم
– اعرض على الخارطة",توفر Sabrina Apartments حوض استحمام ساخن، فضلاً عن مكان إقامة مع مطبخ في بيت لحم. وتتوفر خدمة الواي فاي المجانية. تحتوي جميع الوحدات على تكييف وتلفزيون.
بيت ضيافة الرواد,8.6,"بيت لحم
– اعرض على الخارطة",يقع بيت الضيافة ألووواد في بيت لحم على بعد 2.5 كم من مسجد عمر، ويوفر تراساً. ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مطعمًا.
فندق الياسمين,8.0,"نابلس 
– اعرض على الخارطة",يق فندق الياسمين في وسط مدينة نابلس ويوفر خدمة الواي فاي المجانية. تم بناء هذا الفندق ليكون شبيهًا بالاستراحات العربية التاريخية التي كانت موجودة فيما مضى في طريق الحرير.
ميلنيوم فلسطين رام الله,8.1,"رام الله
– اعرض على الخارطة",يتمتع ميلنيوم فلسطين رام الله بموقع مركزي في رام الله، ويتميز بوجود مسبح بشكل حر في الهواء الطلق محاط بكراسي للتشمس، كما يوفر إطلالة بانورامية على المدينة أو المسبح وخدمة الواي فاي مجاناً في الغرفة.
فندق هيبرون,8.1,"هيبرون
– اعرض على الخارطة",يقع Hebron Hotel في Hebron ويوفر صالة مشتركة. تحتوي جميع الغرف على تلفزيون بشاشة مسطحة مع قنوات فضائية وحمام خاص. وتتوفر خدمة الواي فاي المجانية ومكتب استقبال يعمل على مدار الساعة.
فندق سليم أفندي,8.1,"نابلس
– اعرض على الخارطة",يحتوي فندق Saleem Afandi على مركز للياقة البدنية وسبا ومركز صحي وحديقة وتراس في Nablus. ويوفر هذا الفندق ذو الـ 5 نجوم خدمة الواي فاي المجانية ومكتب استقبال يعمل على مدار الساعة وصراف آلي.
شقة قنواتي,9.6,"بيت لحم
– اعرض على الخارطة",تقع Canawati Apartment على بعد 1.6 كم من ساحة المهد وتوفر مكان إقامة في بيت لحم، وتتوفر خدمة الواي فاي المجانية.
كريستال موتيل,7.7,"نابلس
– اعرض على الخارطة",يوفر Crystal Motel مكان إقامة في نابلس، ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مطعمًا. وتتوفر خدمة الواي فاي المجانية.
فندق Isra,8.9,"نابلس
– اعرض على الخارطة",يقع فندق إسرا في نابلس، ويضم تراس وصالة مشتركة. ويوفر هذا الفندق ذو الـ 3 نجوم مكتب استقبال يعمل على مدار الساعة وخدمة الواي فاي المجانية.
فندق ستي إن بالاس,6.9,"رام الله
– اعرض على الخارطة",يقع فندق ستي إن بالاس في مدينة رام الله على بعد 900 متر من ساحة المنارة، ويوفر غرف مكيفة ومواقف خاصة مجانية للسيارات. ويمكن للنزلاء الاستمتاع في المطعم الموجود في الموقع.
