name,rate,location,description
منتجع وسبا Meeru Island,9.3,"ديفوشي
– اعرض على الخارطة",يوفر منتجع وسبا ميرو آيلاند مكان إقامة في ميروفينفوشي ويتميز بخدمة الواي فاي مجانًا ومسبح خارجي.
كانديما مالديف,9.0,"كوداهوفادهو
– اعرض على الخارطة",يقع Kandima Maldives على الجزيرة الكبرى في دالو أتول، ويضم أطول مسبح خارجي في المالديف ويوفر العديد من الرياضات المائية وأكبر الأندية الشاطئية وملاعب للتنس وكرة السلة، ويوفر مركزاً لعلوم الأحياء...
"Rihiveli The Dream, Maldives",9.3,"Mahaanaelhihuraa
– اعرض على الخارطة",يضم Rihiveli The Dream بنغلات مواجهة للبحر، ولكل منها تراس خاص يطل على المحيط الهندي.
فندق كراون بيتش مالديفز,8.5,"ديفوشي
– اعرض على الخارطة",يقع فندق كراون بيتش مباشرة على شاطئ بيكيني خاص، ويمكن للضيوف الوصول إلى الشاطئ الواقع بالقرب من مكان الإقامة من خلال اللوبي، كما يقع فندق كراون بيتش مالديفز في جزيرة ديفوشي بمنطقة كافو أتول، وعلى بعد...
أرامو هوليدايز آند سبا,9.1,"ديفوشي
– اعرض على الخارطة",يقع ARAAMU HOLIDAYS & SPA على جزيرة ديفوشي وعلى بعد 45 دقيقة بالقارب السريع من مطار فيلانا الدولي، ويتميز بمرافق للشواء ومركز سبا.
دوسيت تاني المالديف,9.5,"دارافاندهو
– اعرض على الخارطة",يقدم دوسيت تاني المالديف الفاخر 94 فيلا وسكنًا على جزيرة با أتول، وهي محمية المحيط الحيوي الأولى والوحيدة التابعة لليونيسكو في جزر المالديف.
منتجع وسبا رويال آيلاند,9.1,"دارافاندهو
– اعرض على الخارطة",يقع منتجع وسبا رويال آيلاند في با أتول بجزر المالديف، وتطل هذه الجزيرة الاستوائية على المحيط الهندي، كما تتوفر خدمة واي فاي مجاناً إضافةً إلى سبا وشواطئ رملية بيضاء هادئة.
نياما برايفت آيلاندز مالديف,9.3,"دالو أتول
– اعرض على الخارطة",إن منتجع نياما برايفت آيلاندز مالديف الفاخر هو جنة استوائية، ويوفر شاطئاً هادئاً خاصاً وخدمات الخادم الشخصي وخدمة الواي فاي مجاناً في الغرف وفي جميع أنحاء المنتجع، ويشمل سبا يعمل على مدار 24 ساعة في...
فيلا لاغون ثودو,9.7,"ثودو
– اعرض على الخارطة",تقع Lagoon Villa Thoddoo في ثودو وتوفر حديقة وخدمة الواي فاي مجاناً، يوفر مكان الإقامة هذا خدمة الغرف، كما يوفر للضيوف مطعمًا. ويمكن للموظفين في الموقع ترتيب خدمات نقل المطار.
راشيو هايا,9.2,"ديفوشي
– اعرض على الخارطة",يقع Rashu Hiyaa في ديفوشي، ويضم مطعمًا ومنطقة شاطئ خاص. وتتوفر خدمة الواي فاي المجانية.
منتجع وسبا بارادايس آيلاند,8.8,"نورث ماليه آتول
– اعرض على الخارطة",يقدم منتجع وسبا بارادايس آيلاند فيلات وبنغلات خاصة تقع على جزيرة ساحرة في المحيط الهندي، ويتميز المنتجع بمسبح خارجي و4 مطاعم وسبا.
